0807
INFO:root:Epoch[12] Batch [1580]	Speed: 681.29 samples/sec	acc=0.485677
INFO:root:Epoch[12] Batch [1600]	Speed: 681.49 samples/sec	acc=0.476302
INFO:root:Epoch[12] Batch [1620]	Speed: 677.90 samples/sec	acc=0.481380
INFO:root:Epoch[12] Batch [1640]	Speed: 676.56 samples/sec	acc=0.484115
INFO:root:Epoch[12] Batch [1660]	Speed: 672.70 samples/sec	acc=0.483594
INFO:root:Epoch[12] Batch [1680]	Speed: 672.09 samples/sec	acc=0.479948
INFO:root:Epoch[12] Batch [1700]	Speed: 671.59 samples/sec	acc=0.471354
INFO:root:Epoch[12] Batch [1720]	Speed: 679.05 samples/sec	acc=0.486849
INFO:root:Epoch[12] Batch [1740]	Speed: 674.43 samples/sec	acc=0.490365
INFO:root:Epoch[12] Batch [1760]	Speed: 681.26 samples/sec	acc=0.482552
INFO:root:Epoch[12] Batch [1780]	Speed: 683.05 samples/sec	acc=0.482161
INFO:root:Epoch[12] Batch [1800]	Speed: 680.69 samples/sec	acc=0.481250
INFO:root:Epoch[12] Batch [1820]	Speed: 681.43 samples/sec	acc=0.471484
lr-batch-epoch: 0.001 1835 12
saving 18
INFO:root:Saved checkpoint to "/data/xinguanxi/modify_insightface_relu/models/cosface-relu/car-reid-0018.params"
[36000]Accuracy-Highest: 0.00000
INFO:root:Epoch[12] Batch [1840]	Speed: 618.93 samples/sec	acc=0.477865
INFO:root:Epoch[12] Batch [1860]	Speed: 669.00 samples/sec	acc=0.478906
INFO:root:Epoch[12] Batch [1880]	Speed: 667.15 samples/sec	acc=0.486458
INFO:root:Epoch[12] Batch [1900]	Speed: 675.08 samples/sec	acc=0.493490
INFO:root:Epoch[12] Batch [1920]	Speed: 684.68 samples/sec	acc=0.470833
INFO:root:Epoch[12] Batch [1940]	Speed: 672.94 samples/sec	acc=0.468099
INFO:root:Epoch[12] Batch [1960]	Speed: 681.10 samples/sec	acc=0.473828
INFO:root:Epoch[12] Batch [1980]	Speed: 667.67 samples/sec	acc=0.473438
INFO:root:Epoch[12] Batch [2000]	Speed: 680.17 samples/sec	acc=0.487891
INFO:root:Epoch[12] Batch [2020]	Speed: 683.96 samples/sec	acc=0.467318
